scenario,region,period,technology,emission type,electricity production [EJ/yr],specific emissions [gCO2eq/kWh]
ADV_WP5_P240_FullTech,OAS,2010,Gas|w/o CCS,Construction,2.382,0.16040023357110622
ADV_WP5_P240_FullTech,OAS,2010,Gas|w/o CCS,direct fossil CO2 (non-CCS),2.382,440.7052896725441
ADV_WP5_P240_FullTech,OAS,2010,Gas|w/o CCS,Operation,2.382,21.853415469792775
ADV_WP5_P240_FullTech,OAS,2010,Gas|w/o CCS,upstream CH4,2.382,44.95201742607382
ADV_WP5_P240_FullTech,OAS,2010,Nuclear,Construction,0.7131,2.0794893919137234
ADV_WP5_P240_FullTech,OAS,2010,Nuclear,Operation,0.7131,9.886362907844424
ADV_WP5_P240_FullTech,OAS,2010,Solar|PV,Construction,0.00702,40.19658182184531
ADV_WP5_P240_FullTech,OAS,2010,Solar|PV,Operation,0.00702,0.0766486235684149
ADV_WP5_P240_FullTech,OAS,2010,Wind,Construction,0.009776,15.589725883017245
ADV_WP5_P240_FullTech,OAS,2010,Wind,Operation,0.009776,1.630187644080816
ADV_WP5_P240_FullTech,ROW,2010,Biomass|w/o CCS,Construction,0.01763,2.143571476053931
ADV_WP5_P240_FullTech,ROW,2010,Biomass|w/o CCS,Operation,0.01763,42.5802636551281
ADV_WP5_P240_FullTech,ROW,2010,Coal|w/o CCS,Construction,2.416,0.23872178534547583
ADV_WP5_P240_FullTech,ROW,2010,Coal|w/o CCS,direct fossil CO2 (non-CCS),2.416,932.0364238410596
ADV_WP5_P240_FullTech,ROW,2010,Coal|w/o CCS,Operation,2.416,23.95607601839312
ADV_WP5_P240_FullTech,ROW,2010,Coal|w/o CCS,upstream CH4,2.416,18.585185496732027
ADV_WP5_P240_FullTech,ROW,2010,Gas|w/o CCS,Construction,1.455,0.15641380249869732
ADV_WP5_P240_FullTech,ROW,2010,Gas|w/o CCS,direct fossil CO2 (non-CCS),1.455,405.5257731958763
ADV_WP5_P240_FullTech,ROW,2010,Gas|w/o CCS,Operation,1.455,22.192803711926345
ADV_WP5_P240_FullTech,ROW,2010,Gas|w/o CCS,upstream CH4,1.455,30.677513608767615
ADV_WP5_P240_FullTech,ROW,2010,Nuclear,Construction,0.7871,1.8502909068239866
ADV_WP5_P240_FullTech,ROW,2010,Nuclear,Operation,0.7871,9.50161954299446
ADV_WP5_P240_FullTech,ROW,2010,Solar|CSP,Construction,2.062e-4,13.673843447399737
ADV_WP5_P240_FullTech,ROW,2010,Solar|CSP,Operation,2.062e-4,0.8698130096210552
ADV_WP5_P240_FullTech,ROW,2010,Solar|PV,Construction,0.002258,42.87925080411618
ADV_WP5_P240_FullTech,ROW,2010,Solar|PV,Operation,0.002258,0.09493636329421605
ADV_WP5_P240_FullTech,ROW,2010,Wind,Construction,0.05866,4.488479612644851
ADV_WP5_P240_FullTech,ROW,2010,Wind,Operation,0.05866,0.46244838345816996
ADV_WP5_P240_FullTech,RUS,2010,Biomass|w/o CCS,Construction,0.01228,2.049929751391278
ADV_WP5_P240_FullTech,RUS,2010,Biomass|w/o CCS,Operation,0.01228,41.24422964807346
ADV_WP5_P240_FullTech,RUS,2010,Coal|w/o CCS,Construction,0.3332,0.23624664786345503
ADV_WP5_P240_FullTech,RUS,2010,Coal|w/o CCS,direct fossil CO2 (non-CCS),0.3332,620.6002400960384
ADV_WP5_P240_FullTech,RUS,2010,Coal|w/o CCS,Operation,0.3332,23.79701915381522
ADV_WP5_P240_FullTech,RUS,2010,Coal|w/o CCS,upstream CH4,0.3332,28.253459015560644
ADV_WP5_P240_FullTech,RUS,2010,Gas|w/o CCS,Construction,1.515,0.1861810636545161
ADV_WP5_P240_FullTech,RUS,2010,Gas|w/o CCS,direct fossil CO2 (non-CCS),1.515,382.57425742574264
ADV_WP5_P240_FullTech,RUS,2010,Gas|w/o CCS,Operation,1.515,22.006768590448182
ADV_WP5_P240_FullTech,RUS,2010,Gas|w/o CCS,upstream CH4,1.515,63.24256411703752
ADV_WP5_P240_FullTech,RUS,2010,Nuclear,Construction,0.5857,1.5372787950020281
ADV_WP5_P240_FullTech,RUS,2010,Nuclear,Operation,0.5857,7.599011355815737
ADV_WP5_P240_FullTech,RUS,2010,Wind,Construction,1.955e-4,5.822469103359044
ADV_WP5_P240_FullTech,RUS,2010,Wind,Operation,1.955e-4,0.6605956652907543
ADV_WP5_P240_FullTech,USA,2010,Biomass|w/o CCS,Construction,0.1957,2.366554308999499
ADV_WP5_P240_FullTech,USA,2010,Biomass|w/o CCS,Operation,0.1957,47.09555178287464
ADV_WP5_P240_FullTech,USA,2010,Coal|w/o CCS,Construction,6.271,0.20697302155346087
ADV_WP5_P240_FullTech,USA,2010,Coal|w/o CCS,direct fossil CO2 (non-CCS),6.271,916.7915802902249
ADV_WP5_P240_FullTech,USA,2010,Coal|w/o CCS,Operation,6.271,22.536614321832783
ADV_WP5_P240_FullTech,USA,2010,Coal|w/o CCS,upstream CH4,6.271,15.401643401059317
ADV_WP5_P240_FullTech,USA,2010,Gas|w/o CCS,Construction,4.385,0.1327261491598817
ADV_WP5_P240_FullTech,USA,2010,Gas|w/o CCS,direct fossil CO2 (non-CCS),4.385,422.80501710376285
ADV_WP5_P240_FullTech,USA,2010,Gas|w/o CCS,Operation,4.385,20.35109232964261
ADV_WP5_P240_FullTech,USA,2010,Gas|w/o CCS,upstream CH4,4.385,24.828250220473087
ADV_WP5_P240_FullTech,USA,2010,Nuclear,Construction,2.974,1.5152822054367852
ADV_WP5_P240_FullTech,USA,2010,Nuclear,Operation,2.974,9.892425125447662
ADV_WP5_P240_FullTech,USA,2010,Solar|CSP,Construction,0.00417,14.808921481518109
ADV_WP5_P240_FullTech,USA,2010,Solar|CSP,Operation,0.00417,0.8961771471377663
ADV_WP5_P240_FullTech,USA,2010,Solar|PV,Construction,0.01563,30.616783230931407
ADV_WP5_P240_FullTech,USA,2010,Solar|PV,Operation,0.01563,0.06305644552135031
ADV_WP5_P240_FullTech,USA,2010,Wind,Construction,0.391,6.442875538477951
ADV_WP5_P240_FullTech,USA,2010,Wind,Operation,0.391,0.6210928181181584
ADV_WP5_P240_FullTech,World,2010,Biomass|w/o CCS,Construction,0.5709,2.0791695142958684
ADV_WP5_P240_FullTech,World,2010,Biomass|w/o CCS,Operation,0.5709,40.09768775015613
ADV_WP5_P240_FullTech,World,2010,Coal|w/o CCS,Construction,27.16,0.3612577157526306
ADV_WP5_P240_FullTech,World,2010,Coal|w/o CCS,direct fossil CO2 (non-CCS),27.16,1053.0729485946006
ADV_WP5_P240_FullTech,World,2010,Coal|w/o CCS,Operation,27.16,33.52281019961526
ADV_WP5_P240_FullTech,World,2010,Coal|w/o CCS,upstream CH4,27.16,39.918677736145106
ADV_WP5_P240_FullTech,World,2010,Gas|w/o CCS,Construction,19.8,0.16613973176507926
ADV_WP5_P240_FullTech,World,2010,Gas|w/o CCS,direct fossil CO2 (non-CCS),19.8,429.9558858337566
ADV_WP5_P240_FullTech,World,2010,Gas|w/o CCS,Operation,19.8,21.58838238601636
ADV_WP5_P240_FullTech,World,2010,Gas|w/o CCS,upstream CH4,19.8,57.81317438068292
ADV_WP5_P240_FullTech,World,2010,Nuclear,Construction,10.21,1.8440510173272902
ADV_WP5_P240_FullTech,World,2010,Nuclear,Operation,10.21,9.11362274882853
ADV_WP5_P240_FullTech,World,2010,Solar|CSP,Construction,0.009365,15.391751212494164
ADV_WP5_P240_FullTech,World,2010,Solar|CSP,Operation,0.009365,0.9440846465565371
ADV_WP5_P240_FullTech,World,2010,Solar|PV,Construction,0.2272,37.19164815788622
ADV_WP5_P240_FullTech,World,2010,Solar|PV,Operation,0.2272,0.07508837971697394
ADV_WP5_P240_FullTech,World,2010,Wind,Construction,1.743,6.4027203580796535
ADV_WP5_P240_FullTech,World,2010,Wind,Operation,1.743,0.6488662121190838
ADV_WP5_Base,AFR,2010,Biomass|w/o CCS,Construction,7.172e-6,2.0370617153258315
ADV_WP5_Base,AFR,2010,Biomass|w/o CCS,Operation,7.172e-6,44.47088193805614
ADV_WP5_Base,AFR,2010,Coal|w/o CCS,Construction,0.02566,0.2793506823174515
ADV_WP5_Base,AFR,2010,Coal|w/o CCS,direct fossil CO2 (non-CCS),0.02566,1175.4014029618083
ADV_WP5_Base,AFR,2010,Coal|w/o CCS,Operation,0.02566,25.147280724460593
ADV_WP5_Base,AFR,2010,Coal|w/o CCS,upstream CH4,0.02566,65.72805697469208
ADV_WP5_Base,AFR,2010,Gas|w/o CCS,Construction,0.1895,0.16140155936391806
ADV_WP5_Base,AFR,2010,Gas|w/o CCS,direct fossil CO2 (non-CCS),0.1895,508.55936675461743
ADV_WP5_Base,AFR,2010,Gas|w/o CCS,Operation,0.1895,19.20598446656737
